symbol,sensex
ABB,0
ACC,0
ADANIENT,1
ADANIGREEN,0
ADANIPORTS,1
ADANIPOWER,0
AMBUJACEM,0
APOLLOHOSP,0
ASIANPAINT,0
ASHOKLEY,0
AXISBANK,1
BAJAJ-AUTO,0
BAJAJFINSV,1
BAJAJHLDNG,0
BAJFINANCE,1
BANKBARODA,0
BEL,0
BHARTIARTL,1
BHEL,0
BOSCH,0
BPCL,0
BRITANNIA,0
CHOLAFIN,0
CIPLA,0
COALINDIA,1
COLPAL,0
CUMMINSIND,0
DABUR,0
DIVISLAB,0
DLF,0
DMART,0
DRREDDY,0
EICHERMOT,0
ETERNAL,0
GAIL,1
GODREJCP,0
GODREJPROP,0
GRASIM,1
HAL,0
HAVELLS,0
HCLTECH,1
HDFCBANK,1
HDFCLIFE,0
HEROMOTOCO,0
HINDALCO,1
HINDUNILVR,0
ICICIBANK,1
INDIGO,0
INDUSINDBK,0
INFY,1
INFOEDGE,0
IOC,1
IRCTC,0
ITC,1
JINDALSTEL,0
JSWSTEEL,1
KOTAKBANK,1
LT,1
LTIMINDTREE,0
M&M,1
MACROTECH,0
MARICO,0
MARUTI,1
MOTHERSON,0
MUTHOOTFIN,0
NESTLEIND,1
NHPC,0
NMDC,0
NTPC,1
OBEROIRLTY,0
ONGC,1
PAYTM,0
PIDILITIND,0
POLYCAB,0
POWERGRID,1
RECLTD,0
RELIANCE,1
SAIL,0
SBILIFE,0
SBIN,1
SHREECEM,0
SHRIRAMFIN,0
SIEMENS,0
SUNPHARMA,1
SUNTV,0
TATACONSUM,0
TATAMOTORS,1
TATAPOWER,0
TATASTEEL,1
TCS,1
TECHM,1
TITAN,1
TORNTPHARM,0
TRENT,0
TVSMOTOR,0
ULTRACEMCO,1
UPL,0
VEDL,0
WIPRO,0
ZYDUSLIFE,0
